year,WEO.Subject.Code,Country.Group.Name,Units,Scale,Subject.Descriptor,vintage,value,location
2009,BM,Middle East and North Africa,U.S. dollars,Billions,Imports of goods and services,2010,840.819,Middle East and North Africa
2009,BM,Other advanced economies (Advanced economies excluding G7 and euro area),U.S. dollars,Billions,Imports of goods and services,2010,2405.112,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,BM,Sub-Saharan Africa,U.S. dollars,Billions,Imports of goods and services,2010,328.21,Sub-Saharan Africa
2009,BX,Advanced economies,U.S. dollars,Billions,Exports of goods and services,2010,10475.225,Advanced economies
2009,BX,Commonwealth of Independent States,U.S. dollars,Billions,Exports of goods and services,2010,523.926,Commonwealth of Independent States
2009,BX,Euro area,U.S. dollars,Billions,Exports of goods and services,2010,2465.272,Euro area
2009,BX,Major advanced economies (G7),U.S. dollars,Billions,Exports of goods and services,2010,5720.064,Major advanced economies (G7)
2009,BX,Middle East and North Africa,U.S. dollars,Billions,Exports of goods and services,2010,911.122,Middle East and North Africa
2009,BX,Other advanced economies (Advanced economies excluding G7 and euro area),U.S. dollars,Billions,Exports of goods and services,2010,2671.83,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,BX,Sub-Saharan Africa,U.S. dollars,Billions,Exports of goods and services,2010,301.449,Sub-Saharan Africa
2009,D,Commonwealth of Independent States,U.S. dollars,Billions,"External debt, total",2010,735.384,Commonwealth of Independent States
2009,D,Middle East and North Africa,U.S. dollars,Billions,"External debt, total",2010,733.776,Middle East and North Africa
2009,D,Sub-Saharan Africa,U.S. dollars,Billions,"External debt, total",2010,266.43,Sub-Saharan Africa
2009,GGSB_NPGDP,Advanced economies,Percent of potential GDP,,General government structural balance,2010,-5.908,Advanced economies
2009,GGSB_NPGDP,Euro area,Percent of potential GDP,,General government structural balance,2010,-4.92,Euro area
2009,GGSB_NPGDP,Major advanced economies (G7),Percent of potential GDP,,General government structural balance,2010,-6.278,Major advanced economies (G7)
2009,GGSB_NPGDP,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of potential GDP,,General government structural balance,2010,-1.907,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,GGXCNL_NGDP,ASEAN-5,Percent of GDP,,General government net lending/borrowing,2010,-2.992,ASEAN-5
2009,GGXCNL_NGDP,Advanced economies,Percent of GDP,,General government net lending/borrowing,2010,-8.695,Advanced economies
2009,GGXCNL_NGDP,Commonwealth of Independent States,Percent of GDP,,General government net lending/borrowing,2010,-5.015,Commonwealth of Independent States
2009,GGXCNL_NGDP,Euro area,Percent of GDP,,General government net lending/borrowing,2010,-6.262,Euro area
2009,GGXCNL_NGDP,European Union,Percent of GDP,,General government net lending/borrowing,2010,-6.582,European Union
2009,GGXCNL_NGDP,Major advanced economies (G7),Percent of GDP,,General government net lending/borrowing,2010,-9.91,Major advanced economies (G7)
2009,GGXCNL_NGDP,Middle East and North Africa,Percent of GDP,,General government net lending/borrowing,2010,-2.049,Middle East and North Africa
2009,GGXCNL_NGDP,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of GDP,,General government net lending/borrowing,2010,-1.177,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,GGXCNL_NGDP,Sub-Saharan Africa,Percent of GDP,,General government net lending/borrowing,2010,-4.565,Sub-Saharan Africa
2009,LE,Advanced economies,"Index, 2000=100",,Employment,2010,101.467,Advanced economies
2009,LE,Euro area,"Index, 2000=100",,Employment,2010,102.712,Euro area
2009,LE,Major advanced economies (G7),"Index, 2000=100",,Employment,2010,100.468,Major advanced economies (G7)
2009,LE,Other advanced economies (Advanced economies excluding G7 and euro area),"Index, 2000=100",,Employment,2010,105.84,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,LUR,Advanced economies,Percent of total labor force,,Unemployment rate,2010,8.058,Advanced economies
2009,LUR,Euro area,Percent of total labor force,,Unemployment rate,2010,9.642,Euro area
2009,LUR,Major advanced economies (G7),Percent of total labor force,,Unemployment rate,2010,8.02,Major advanced economies (G7)
2009,LUR,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of total labor force,,Unemployment rate,2010,5.302,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,NGAP_NPGDP,Advanced economies,Percent of potential GDP,,Output gap,2010,-3.843,Advanced economies
2009,NGAP_NPGDP,Euro area,Percent of potential GDP,,Output gap,2010,-2.563,Euro area
2009,NGAP_NPGDP,Major advanced economies (G7),Percent of potential GDP,,Output gap,2010,-4.517,Major advanced economies (G7)
2009,NGDPD,ASEAN-5,U.S. dollars,Billions,"Gross domestic product, current prices",2010,1338.282,ASEAN-5
2009,NGDPD,Advanced economies,U.S. dollars,Billions,"Gross domestic product, current prices",2010,41399.519,Advanced economies
2009,NGDPD,Commonwealth of Independent States,U.S. dollars,Billions,"Gross domestic product, current prices",2010,1734.108,Commonwealth of Independent States
2009,NGDPD,Euro area,U.S. dollars,Billions,"Gross domestic product, current prices",2010,12941.189,Euro area
2009,NGDPD,European Union,U.S. dollars,Billions,"Gross domestic product, current prices",2010,17147.801,European Union
2009,NGDPD,Major advanced economies (G7),U.S. dollars,Billions,"Gross domestic product, current prices",2010,31730.645,Major advanced economies (G7)
2009,NGDPD,Middle East and North Africa,U.S. dollars,Billions,"Gross domestic product, current prices",2010,2205.569,Middle East and North Africa
2009,NGDPD,Other advanced economies (Advanced economies excluding G7 and euro area),U.S. dollars,Billions,"Gross domestic product, current prices",2010,5045.525,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,NGDPD,Sub-Saharan Africa,U.S. dollars,Billions,"Gross domestic product, current prices",2010,1084.715,Sub-Saharan Africa
2009,NGDPD,World,U.S. dollars,Billions,"Gross domestic product, current prices",2010,60337.197,World
2009,NGDP_RPCH,ASEAN-5,Percent change,,"Gross domestic product, constant prices",2010,2.436,ASEAN-5
2009,NGDP_RPCH,Advanced economies,Percent change,,"Gross domestic product, constant prices",2010,-3.395,Advanced economies
2009,NGDP_RPCH,Commonwealth of Independent States,Percent change,,"Gross domestic product, constant prices",2010,-6.337,Commonwealth of Independent States
2009,NGDP_RPCH,Euro area,Percent change,,"Gross domestic product, constant prices",2010,-4.515,Euro area
2009,NGDP_RPCH,European Union,Percent change,,"Gross domestic product, constant prices",2010,-4.237,European Union
2009,NGDP_RPCH,Major advanced economies (G7),Percent change,,"Gross domestic product, constant prices",2010,-3.759,Major advanced economies (G7)
2009,NGDP_RPCH,Middle East and North Africa,Percent change,,"Gross domestic product, constant prices",2010,0.799,Middle East and North Africa
2009,NGDP_RPCH,Other advanced economies (Advanced economies excluding G7 and euro area),Percent change,,"Gross domestic product, constant prices",2010,-0.914,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,NGDP_RPCH,Sub-Saharan Africa,Percent change,,"Gross domestic product, constant prices",2010,3.9,Sub-Saharan Africa
2009,NGDP_RPCH,World,Percent change,,"Gross domestic product, constant prices",2010,-0.15,World
2009,NGDP_RPCHMK,World,Percent change (market exchange rates),,"Gross domestic product, constant prices",2010,-2.072,World
2009,NGSD_NGDP,ASEAN-5,Percent of GDP,,Gross national savings,2010,30.6,ASEAN-5
2009,NGSD_NGDP,Advanced economies,Percent of GDP,,Gross national savings,2010,19.248,Advanced economies
2009,NGSD_NGDP,Commonwealth of Independent States,Percent of GDP,,Gross national savings,2010,20.406,Commonwealth of Independent States
2009,NGSD_NGDP,Euro area,Percent of GDP,,Gross national savings,2010,20.802,Euro area
2009,NGSD_NGDP,European Union,Percent of GDP,,Gross national savings,2010,19.468,European Union
2009,NGSD_NGDP,Major advanced economies (G7),Percent of GDP,,Gross national savings,2010,17.621,Major advanced economies (G7)
2009,NGSD_NGDP,Middle East and North Africa,Percent of GDP,,Gross national savings,2010,33.768,Middle East and North Africa
2009,NGSD_NGDP,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of GDP,,Gross national savings,2010,28.71,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,NGSD_NGDP,Sub-Saharan Africa,Percent of GDP,,Gross national savings,2010,20.435,Sub-Saharan Africa
2009,NGSD_NGDP,World,Percent of GDP,,Gross national savings,2010,23.154,World
2009,NID_NGDP,ASEAN-5,Percent of GDP,,Investment,2010,25.662,ASEAN-5
2009,NID_NGDP,Advanced economies,Percent of GDP,,Investment,2010,19.685,Advanced economies
2009,NID_NGDP,Commonwealth of Independent States,Percent of GDP,,Investment,2010,17.744,Commonwealth of Independent States
2009,NID_NGDP,Euro area,Percent of GDP,,Investment,2010,20.356,Euro area
2009,NID_NGDP,European Union,Percent of GDP,,Investment,2010,19.716,European Union
2009,NID_NGDP,Major advanced economies (G7),Percent of GDP,,Investment,2010,18.607,Major advanced economies (G7)
2009,NID_NGDP,Middle East and North Africa,Percent of GDP,,Investment,2010,32.888,Middle East and North Africa
2009,NID_NGDP,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of GDP,,Investment,2010,24.286,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,NID_NGDP,Sub-Saharan Africa,Percent of GDP,,Investment,2010,22.835,Sub-Saharan Africa
2009,NID_NGDP,World,Percent of GDP,,Investment,2010,23.065,World
2009,PCPIPCH,ASEAN-5,Percent change,,"Inflation, average consumer prices",2010,3.282,ASEAN-5
2009,PCPIPCH,Advanced economies,Percent change,,"Inflation, average consumer prices",2010,0.163,Advanced economies
2009,PCPIPCH,Commonwealth of Independent States,Percent change,,"Inflation, average consumer prices",2010,11.069,Commonwealth of Independent States
2009,PCPIPCH,Euro area,Percent change,,"Inflation, average consumer prices",2010,0.318,Euro area
2009,PCPIPCH,European Union,Percent change,,"Inflation, average consumer prices",2010,0.958,European Union
2009,PCPIPCH,Major advanced economies (G7),Percent change,,"Inflation, average consumer prices",2010,-0.092,Major advanced economies (G7)
2009,PCPIPCH,Middle East and North Africa,Percent change,,"Inflation, average consumer prices",2010,6.135,Middle East and North Africa
2009,PCPIPCH,Other advanced economies (Advanced economies excluding G7 and euro area),Percent change,,"Inflation, average consumer prices",2010,1.386,Other advanced economies (Advanced economies excluding G7 and euro area)
2009,PCPIPCH,Sub-Saharan Africa,Percent change,,"Inflation, average consumer prices",2010,9.766,Sub-Saharan Africa
2009,PCPIPCH,World,Percent change,,"Inflation, average consumer prices",2010,2.689,World
2010,BCA_NGDPD,ASEAN-5,Percent of GDP,,Current account balance,2011,2.729,ASEAN-5
2010,BCA_NGDPD,Advanced economies,Percent of GDP,,Current account balance,2011,-0.037,Advanced economies
2010,BCA_NGDPD,Commonwealth of Independent States,Percent of GDP,,Current account balance,2011,3.231,Commonwealth of Independent States
2010,BCA_NGDPD,Euro area,Percent of GDP,,Current account balance,2011,-0.061,Euro area
2010,BCA_NGDPD,European Union,Percent of GDP,,Current account balance,2011,-0.141,European Union
2010,BCA_NGDPD,Latin America and the Caribbean,Percent of GDP,,Current account balance,2011,-1.899,Latin America and the Caribbean
2010,BCA_NGDPD,Major advanced economies (G7),Percent of GDP,,Current account balance,2011,-0.798,Major advanced economies (G7)
2010,BCA_NGDPD,Middle East and North Africa,Percent of GDP,,Current account balance,2011,6.551,Middle East and North Africa
2010,BCA_NGDPD,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of GDP,,Current account balance,2011,4.959,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,BCA_NGDPD,Sub-Saharan Africa,Percent of GDP,,Current account balance,2011,-0.818,Sub-Saharan Africa
2010,BFD,Advanced economies,U.S. dollars,Billions,"Direct investment, net",2011,340.667,Advanced economies
2010,BFD,Commonwealth of Independent States,U.S. dollars,Billions,"Direct investment, net",2011,-8.545,Commonwealth of Independent States
2010,BFD,Euro area,U.S. dollars,Billions,"Direct investment, net",2011,82.267,Euro area
2010,BFD,Latin America and the Caribbean,U.S. dollars,Billions,"Direct investment, net",2011,-109.952,Latin America and the Caribbean
2010,BFD,Major advanced economies (G7),U.S. dollars,Billions,"Direct investment, net",2011,270.775,Major advanced economies (G7)
2010,BFD,Middle East and North Africa,U.S. dollars,Billions,"Direct investment, net",2011,-46.657,Middle East and North Africa
2010,BFD,Other advanced economies (Advanced economies excluding G7 and euro area),U.S. dollars,Billions,"Direct investment, net",2011,93.543,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,BFD,Sub-Saharan Africa,U.S. dollars,Billions,"Direct investment, net",2011,-36.796,Sub-Saharan Africa
2010,BFRA,Advanced economies,U.S. dollars,Billions,Change in reserves,2011,352.931,Advanced economies
2010,BFRA,Commonwealth of Independent States,U.S. dollars,Billions,Change in reserves,2011,60.877,Commonwealth of Independent States
2010,BFRA,Euro area,U.S. dollars,Billions,Change in reserves,2011,13.736,Euro area
2010,BFRA,Latin America and the Caribbean,U.S. dollars,Billions,Change in reserves,2011,90.927,Latin America and the Caribbean
2010,BFRA,Major advanced economies (G7),U.S. dollars,Billions,Change in reserves,2011,70.609,Major advanced economies (G7)
2010,BFRA,Middle East and North Africa,U.S. dollars,Billions,Change in reserves,2011,81.277,Middle East and North Africa
2010,BFRA,Other advanced economies (Advanced economies excluding G7 and euro area),U.S. dollars,Billions,Change in reserves,2011,279.271,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,BFRA,Sub-Saharan Africa,U.S. dollars,Billions,Change in reserves,2011,0.504,Sub-Saharan Africa
2010,BM,Advanced economies,U.S. dollars,Billions,Imports of goods and services,2011,12134.127,Advanced economies
2010,BM,Commonwealth of Independent States,U.S. dollars,Billions,Imports of goods and services,2011,530.456,Commonwealth of Independent States
2010,BM,Euro area,U.S. dollars,Billions,Imports of goods and services,2011,2669.189,Euro area
2010,BM,Latin America and the Caribbean,U.S. dollars,Billions,Imports of goods and services,2011,1004.38,Latin America and the Caribbean
2010,BM,Major advanced economies (G7),U.S. dollars,Billions,Imports of goods and services,2011,6993.733,Major advanced economies (G7)
2010,BM,Middle East and North Africa,U.S. dollars,Billions,Imports of goods and services,2011,902.64,Middle East and North Africa
2010,BM,Other advanced economies (Advanced economies excluding G7 and euro area),U.S. dollars,Billions,Imports of goods and services,2011,2962.539,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,BM,Sub-Saharan Africa,U.S. dollars,Billions,Imports of goods and services,2011,392.325,Sub-Saharan Africa
2010,BX,Advanced economies,U.S. dollars,Billions,Exports of goods and services,2011,12124.302,Advanced economies
2010,BX,Commonwealth of Independent States,U.S. dollars,Billions,Exports of goods and services,2011,668.926,Commonwealth of Independent States
2010,BX,Euro area,U.S. dollars,Billions,Exports of goods and services,2011,2751.883,Euro area
2010,BX,Latin America and the Caribbean,U.S. dollars,Billions,Exports of goods and services,2011,997.697,Latin America and the Caribbean
2010,BX,Major advanced economies (G7),U.S. dollars,Billions,Exports of goods and services,2011,6576.631,Major advanced economies (G7)
2010,BX,Middle East and North Africa,U.S. dollars,Billions,Exports of goods and services,2011,1118.782,Middle East and North Africa
2010,BX,Other advanced economies (Advanced economies excluding G7 and euro area),U.S. dollars,Billions,Exports of goods and services,2011,3287.797,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,BX,Sub-Saharan Africa,U.S. dollars,Billions,Exports of goods and services,2011,389.724,Sub-Saharan Africa
2010,D,Commonwealth of Independent States,U.S. dollars,Billions,"External debt, total",2011,789.171,Commonwealth of Independent States
2010,D,Latin America and the Caribbean,U.S. dollars,Billions,"External debt, total",2011,1312.728,Latin America and the Caribbean
2010,D,Middle East and North Africa,U.S. dollars,Billions,"External debt, total",2011,750.486,Middle East and North Africa
2010,D,Sub-Saharan Africa,U.S. dollars,Billions,"External debt, total",2011,290.749,Sub-Saharan Africa
2010,GGR_NGDP,ASEAN-5,Percent of GDP,,General government revenue,2011,18.649,ASEAN-5
2010,GGR_NGDP,Advanced economies,Percent of GDP,,General government revenue,2011,34.726,Advanced economies
2010,GGR_NGDP,Commonwealth of Independent States,Percent of GDP,,General government revenue,2011,32.746,Commonwealth of Independent States
2010,GGR_NGDP,Euro area,Percent of GDP,,General government revenue,2011,44.3,Euro area
2010,GGR_NGDP,European Union,Percent of GDP,,General government revenue,2011,42.947,European Union
2010,GGR_NGDP,Latin America and the Caribbean,Percent of GDP,,General government revenue,2011,29.349,Latin America and the Caribbean
2010,GGR_NGDP,Major advanced economies (G7),Percent of GDP,,General government revenue,2011,34.163,Major advanced economies (G7)
2010,GGR_NGDP,Middle East and North Africa,Percent of GDP,,General government revenue,2011,33.233,Middle East and North Africa
2010,GGR_NGDP,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of GDP,,General government revenue,2011,32.719,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,GGR_NGDP,Sub-Saharan Africa,Percent of GDP,,General government revenue,2011,21.242,Sub-Saharan Africa
2010,GGSB_NPGDP,Advanced economies,Percent of potential GDP,,General government structural balance,2011,-6.592,Advanced economies
2010,GGSB_NPGDP,Euro area,Percent of potential GDP,,General government structural balance,2011,-4.742,Euro area
2010,GGSB_NPGDP,Major advanced economies (G7),Percent of potential GDP,,General government structural balance,2011,-7.43,Major advanced economies (G7)
2010,GGSB_NPGDP,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of potential GDP,,General government structural balance,2011,-1.664,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,GGXCNL_NGDP,ASEAN-5,Percent of GDP,,General government net lending/borrowing,2011,-1.993,ASEAN-5
2010,GGXCNL_NGDP,Advanced economies,Percent of GDP,,General government net lending/borrowing,2011,-7.636,Advanced economies
2010,GGXCNL_NGDP,Commonwealth of Independent States,Percent of GDP,,General government net lending/borrowing,2011,-2.479,Commonwealth of Independent States
2010,GGXCNL_NGDP,Euro area,Percent of GDP,,General government net lending/borrowing,2011,-6.177,Euro area
2010,GGXCNL_NGDP,European Union,Percent of GDP,,General government net lending/borrowing,2011,-6.383,European Union
2010,GGXCNL_NGDP,Latin America and the Caribbean,Percent of GDP,,General government net lending/borrowing,2011,-3.041,Latin America and the Caribbean
2010,GGXCNL_NGDP,Major advanced economies (G7),Percent of GDP,,General government net lending/borrowing,2011,-8.808,Major advanced economies (G7)
2010,GGXCNL_NGDP,Middle East and North Africa,Percent of GDP,,General government net lending/borrowing,2011,1.859,Middle East and North Africa
2010,GGXCNL_NGDP,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of GDP,,General government net lending/borrowing,2011,-0.446,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,GGXCNL_NGDP,Sub-Saharan Africa,Percent of GDP,,General government net lending/borrowing,2011,-3.577,Sub-Saharan Africa
2010,GGXONLB_NGDP,ASEAN-5,Percent of GDP,,General government primary net lending/borrowing,2011,-0.599,ASEAN-5
2010,GGXONLB_NGDP,Advanced economies,Percent of GDP,,General government primary net lending/borrowing,2011,-6.003,Advanced economies
2010,GGXONLB_NGDP,Commonwealth of Independent States,Percent of GDP,,General government primary net lending/borrowing,2011,-2.275,Commonwealth of Independent States
2010,GGXONLB_NGDP,Euro area,Percent of GDP,,General government primary net lending/borrowing,2011,-3.725,Euro area
2010,GGXONLB_NGDP,European Union,Percent of GDP,,General government primary net lending/borrowing,2011,-4.05,European Union
2010,GGXONLB_NGDP,Latin America and the Caribbean,Percent of GDP,,General government primary net lending/borrowing,2011,0.145,Latin America and the Caribbean
2010,GGXONLB_NGDP,Major advanced economies (G7),Percent of GDP,,General government primary net lending/borrowing,2011,-6.818,Major advanced economies (G7)
2010,GGXONLB_NGDP,Middle East and North Africa,Percent of GDP,,General government primary net lending/borrowing,2011,2.334,Middle East and North Africa
2010,GGXONLB_NGDP,Sub-Saharan Africa,Percent of GDP,,General government primary net lending/borrowing,2011,-2.302,Sub-Saharan Africa
2010,GGXWDG_NGDP,ASEAN-5,Percent of GDP,,General government gross debt,2011,36.468,ASEAN-5
2010,GGXWDG_NGDP,Advanced economies,Percent of GDP,,General government gross debt,2011,97.563,Advanced economies
2010,GGXWDG_NGDP,Commonwealth of Independent States,Percent of GDP,,General government gross debt,2011,13.671,Commonwealth of Independent States
2010,GGXWDG_NGDP,Euro area,Percent of GDP,,General government gross debt,2011,83.829,Euro area
2010,GGXWDG_NGDP,European Union,Percent of GDP,,General government gross debt,2011,78.982,European Union
2010,GGXWDG_NGDP,Latin America and the Caribbean,Percent of GDP,,General government gross debt,2011,48.095,Latin America and the Caribbean
2010,GGXWDG_NGDP,Major advanced economies (G7),Percent of GDP,,General government gross debt,2011,111.781,Major advanced economies (G7)
2010,GGXWDG_NGDP,Middle East and North Africa,Percent of GDP,,General government gross debt,2011,27.178,Middle East and North Africa
2010,GGXWDG_NGDP,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of GDP,,General government gross debt,2011,36.065,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,GGXWDG_NGDP,Sub-Saharan Africa,Percent of GDP,,General government gross debt,2011,27.869,Sub-Saharan Africa
2010,GGXWDN_NGDP,Advanced economies,Percent of GDP,,General government net debt,2011,69.242,Advanced economies
2010,GGXWDN_NGDP,Euro area,Percent of GDP,,General government net debt,2011,66.06,Euro area
2010,GGXWDN_NGDP,European Union,Percent of GDP,,General government net debt,2011,63.751,European Union
2010,GGXWDN_NGDP,Major advanced economies (G7),Percent of GDP,,General government net debt,2011,79.941,Major advanced economies (G7)
2010,GGX_NGDP,ASEAN-5,Percent of GDP,,General government total expenditure,2011,20.641,ASEAN-5
2010,GGX_NGDP,Advanced economies,Percent of GDP,,General government total expenditure,2011,42.362,Advanced economies
2010,GGX_NGDP,Commonwealth of Independent States,Percent of GDP,,General government total expenditure,2011,35.225,Commonwealth of Independent States
2010,GGX_NGDP,Euro area,Percent of GDP,,General government total expenditure,2011,50.477,Euro area
2010,GGX_NGDP,European Union,Percent of GDP,,General government total expenditure,2011,49.33,European Union
2010,GGX_NGDP,Latin America and the Caribbean,Percent of GDP,,General government total expenditure,2011,32.39,Latin America and the Caribbean
2010,GGX_NGDP,Major advanced economies (G7),Percent of GDP,,General government total expenditure,2011,42.971,Major advanced economies (G7)
2010,GGX_NGDP,Middle East and North Africa,Percent of GDP,,General government total expenditure,2011,31.374,Middle East and North Africa
2010,GGX_NGDP,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of GDP,,General government total expenditure,2011,33.165,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,GGX_NGDP,Sub-Saharan Africa,Percent of GDP,,General government total expenditure,2011,24.82,Sub-Saharan Africa
2010,LE,Advanced economies,"Index, 2000=100",,Employment,2011,101.319,Advanced economies
2010,LE,Euro area,"Index, 2000=100",,Employment,2011,102.084,Euro area
2010,LE,Major advanced economies (G7),"Index, 2000=100",,Employment,2011,100.295,Major advanced economies (G7)
2010,LE,Other advanced economies (Advanced economies excluding G7 and euro area),"Index, 2000=100",,Employment,2011,107.063,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,LUR,Advanced economies,Percent of total labor force,,Unemployment rate,2011,8.31,Advanced economies
2010,LUR,Euro area,Percent of total labor force,,Unemployment rate,2011,10.208,Euro area
2010,LUR,Major advanced economies (G7),Percent of total labor force,,Unemployment rate,2011,8.132,Major advanced economies (G7)
2010,LUR,Other advanced economies (Advanced economies excluding G7 and euro area),Percent of total labor force,,Unemployment rate,2011,5.19,Other advanced economies (Advanced economies excluding G7 and euro area)
2010,NGAP_NPGDP,Advanced economies,Percent of potential GDP,,Output gap,2011,-2.263,Advanced economies
2010,NGAP_NPGDP,Euro area,Percent of potential GDP,,Output gap,2011,-1.325,Euro area
2010,NGAP_NPGDP,Major advanced economies (G7),Percent of potential GDP,,Output gap,2011,-2.839,Major advanced economies (G7)
2010,NGDPD,ASEAN-5,U.S. dollars,Billions,"Gross domestic product, current prices",2011,1663.747,ASEAN-5
2010,NGDPD,Advanced economies,U.S. dollars,Billions,"Gross domestic product, current prices",2011,43196.604,Advanced economies
2010,NGDPD,Commonwealth of Independent States,U.S. dollars,Billions,"Gross domestic product, current prices",2011,2131.023,Commonwealth of Independent States
2010,NGDPD,Euro area,U.S. dollars,Billions,"Gross domestic product, current prices",2011,12668.631,Euro area
2010,NGDPD,European Union,U.S. dollars,Billions,"Gross domestic product, current prices",2011,17017.428,European Union
2010,NGDPD,Latin America and the Caribbean,U.S. dollars,Billions,"Gross domestic product, current prices",2011,5065.964,Latin America and the Caribbean
2010,NGDPD,Major advanced economies (G7),U.S. dollars,Billions,"Gross domestic product, current prices",2011,32925.791,Major advanced economies (G7)
2010,NGDPD,Middle East and North Africa,U.S. dollars,Billions,"Gross domestic product, current prices",2011,2595.711,Middle East and North Africa
2010,NGDPD,Other advanced economies (Advanced economies excluding G7 and euro area),U.S. dollars,Billions,"Gross domestic product, current prices",2011,5806.25,Other advanced economies (Advanced economies excluding G7 and euro area)
