"year","WEO.Subject.Code","Country.Group.Name","Units","Scale","Subject.Descriptor","vintage","value"
2008,"PNGASW","World","Index, 2005=100","","Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices",2009,173.657
2008,"PNRGW","World","Index, 2005=100","","Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",2009,184.637
2008,"POILAPSPW","World","Index, 2005=100","","Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh",2009,181.87
2008,"PRAWMW","World","Index, 2005=100","","Commodity Agricultural Raw Materials Index includes Timber, Cotton, Wool, Rubber, and Hides Price Indices",2009,113.367
2008,"PSEAFW","World","Index, 2005=100","","Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices",2009,116.066
2008,"PSOFTW","World","Index, 2005=100","","Commodity Softwood Index includes Softwood Sawn and Softwood Logs Price Indices",2009,92.934
2008,"PSUGAW","World","Index, 2005=100","","Commodity Sugar Index includes European, Free market, and U.S. Price Indices",2009,122.308
2008,"PTIMBW","World","Index, 2005=100","","Commodity Timber Index includes Hardwood and Softwood Price Indices",2009,108.828
2008,"PVOILW","World","Index, 2005=100","","Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices",2009,192.542
2008,"PWOOLW","World","Index, 2005=100","","Commodity Wool Index includes Coarse and Fine Wool Price Indices",2009,137.837
2009,"PALLFNFW","World","Index, 2005=100","","Commodity Price Index includes both Fuel and Non-Fuel Price Indices",2010,120.725
2009,"PBEVEW","World","Index, 2005=100","","Commodity Beverage Price Index includes Coffee, Tea, and Cocoa",2010,154.422
2009,"PCEREW","World","Index, 2005=100","","Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley",2010,162.287
2009,"PCOALW","World","Index, 2005=100","","Commodity Coal Price Index includes Australian and South African Coal",2010,148.017
2009,"PCOFFW","World","Index, 2005=100","","Commodity Coffee Price Index includes Other Mild Arabicas and Robusta",2010,131.497
2009,"PFANDBW","World","Index, 2005=100","","Commodity Food and Beverage Price Index includes Food and Beverage Price Indices",2010,137.284
2009,"PFOODW","World","Index, 2005=100","","Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices",2010,135.427
2009,"PHARDW","World","Index, 2005=100","","Commodity Hardwood Price Index includes Hardwood Logs and Hardwood Sawn Price Indices",2010,127.941
2009,"PINDUW","World","Index, 2005=100","","Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices",2010,118.664
2009,"PMEATW","World","Index, 2005=100","","Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices",2010,98.016
2009,"PMETAW","World","Index, 2005=100","","Commodity Metals Price Index includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices",2010,136.53
2009,"PNFUELW","World","Index, 2005=100","","Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices",2010,128.021
2009,"PNGASW","World","Index, 2005=100","","Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices",2010,109.642
2009,"PNRGW","World","Index, 2005=100","","Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",2010,116.457
2009,"POILAPSPW","World","Index, 2005=100","","Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh",2010,115.787
2009,"PRAWMW","World","Index, 2005=100","","Commodity Agricultural Raw Materials Index includes Timber, Cotton, Wool, Rubber, and Hides Price Indices",2010,93.929
2009,"PSEAFW","World","Index, 2005=100","","Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices",2010,115.086
2009,"PSOFTW","World","Index, 2005=100","","Commodity Softwood Index includes Softwood Sawn and Softwood Logs Price Indices",2010,86.352
2009,"PSUGAW","World","Index, 2005=100","","Commodity Sugar Index includes European, Free market, and U.S. Price Indices",2010,176.355
2009,"PTIMBW","World","Index, 2005=100","","Commodity Timber Index includes Hardwood and Softwood Price Indices",2010,101.164
2009,"PVOILW","World","Index, 2005=100","","Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices",2010,153.973
2009,"PWOOLW","World","Index, 2005=100","","Commodity Wool Index includes Coarse and Fine Wool Price Indices",2010,115.057
2010,"PALLFNFW","World","Index, 2005=100","","Commodity Price Index includes both Fuel and Non-Fuel Price Indices",2011,152.382
2010,"PBEVEW","World","Index, 2005=100","","Commodity Beverage Price Index includes Coffee, Tea, and Cocoa",2011,176.23
2010,"PCEREW","World","Index, 2005=100","","Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley",2011,167.871
2010,"PCOALW","World","Index, 2005=100","","Commodity Coal Price Index includes Australian and South African Coal",2011,204.576
2010,"PCOFFW","World","Index, 2005=100","","Commodity Coffee Price Index includes Other Mild Arabicas and Robusta",2011,165.411
2010,"PFANDBW","World","Index, 2005=100","","Commodity Food and Beverage Price Index includes Food and Beverage Price Indices",2011,154.43
2010,"PFOODW","World","Index, 2005=100","","Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices",2011,152.069
2010,"PHARDW","World","Index, 2005=100","","Commodity Hardwood Price Index includes Hardwood Logs and Hardwood Sawn Price Indices",2011,131.141
2010,"PINDUW","World","Index, 2005=100","","Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices",2011,169.938
2010,"PMEATW","World","Index, 2005=100","","Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices",2011,117.209
2010,"PMETAW","World","Index, 2005=100","","Commodity Metals Price Index includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices",2011,202.32
2010,"PNFUELW","World","Index, 2005=100","","Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices",2011,162.145
2010,"PNGASW","World","Index, 2005=100","","Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices",2011,113.333
2010,"PNRGW","World","Index, 2005=100","","Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",2011,146.669
2010,"POILAPSPW","World","Index, 2005=100","","Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh",2011,148.124
2010,"PRAWMW","World","Index, 2005=100","","Commodity Agricultural Raw Materials Index includes Timber, Cotton, Wool, Rubber, and Hides Price Indices",2011,125.108
2010,"PSEAFW","World","Index, 2005=100","","Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices",2011,140.287
2010,"PSOFTW","World","Index, 2005=100","","Commodity Softwood Index includes Softwood Sawn and Softwood Logs Price Indices",2011,84.464
2010,"PSUGAW","World","Index, 2005=100","","Commodity Sugar Index includes European, Free market, and U.S. Price Indices",2011,203.849
2010,"PTIMBW","World","Index, 2005=100","","Commodity Timber Index includes Hardwood and Softwood Price Indices",2011,101.088
2010,"PVOILW","World","Index, 2005=100","","Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices",2011,170.374
2010,"PWOOLW","World","Index, 2005=100","","Commodity Wool Index includes Coarse and Fine Wool Price Indices",2011,152.936
2011,"PALLFNFW","World","Index, 2005=100","","Commodity Price Index includes both Fuel and Non-Fuel Price Indices",2012,192.454
2011,"PBEVEW","World","Index, 2005=100","","Commodity Beverage Price Index includes Coffee, Tea, and Cocoa",2012,205.544
2011,"PCEREW","World","Index, 2005=100","","Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley",2012,234.993
2011,"PCOALW","World","Index, 2005=100","","Commodity Coal Price Index includes Australian and South African Coal",2012,254.607
2011,"PCOFFW","World","Index, 2005=100","","Commodity Coffee Price Index includes Other Mild Arabicas and Robusta",2012,230.969
2011,"PFANDBW","World","Index, 2005=100","","Commodity Food and Beverage Price Index includes Food and Beverage Price Indices",2012,185.437
2011,"PFOODW","World","Index, 2005=100","","Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices",2012,183.259
2011,"PHARDW","World","Index, 2005=100","","Commodity Hardwood Price Index includes Hardwood Logs and Hardwood Sawn Price Indices",2012,157.43
2011,"PINDUW","World","Index, 2005=100","","Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices",2012,197.733
2011,"PMEATW","World","Index, 2005=100","","Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices",2012,134.495
2011,"PMETAW","World","Index, 2005=100","","Commodity Metals Price Index includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices",2012,229.719
2011,"PNFUELW","World","Index, 2005=100","","Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices",2012,191.554
2011,"PNGASW","World","Index, 2005=100","","Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices",2012,154.308
2011,"PNRGW","World","Index, 2005=100","","Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",2012,192.98
2011,"POILAPSPW","World","Index, 2005=100","","Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh",2012,194.939
2011,"PRAWMW","World","Index, 2005=100","","Commodity Agricultural Raw Materials Index includes Timber, Cotton, Wool, Rubber, and Hides Price Indices",2012,153.45
2011,"PSEAFW","World","Index, 2005=100","","Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices",2012,140.236
2011,"PSOFTW","World","Index, 2005=100","","Commodity Softwood Index includes Softwood Sawn and Softwood Logs Price Indices",2012,85.039
2011,"PSUGAW","World","Index, 2005=100","","Commodity Sugar Index includes European, Free market, and U.S. Price Indices",2012,255.596
2011,"PTIMBW","World","Index, 2005=100","","Commodity Timber Index includes Hardwood and Softwood Price Indices",2012,110.82
2011,"PVOILW","World","Index, 2005=100","","Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices",2012,209.123
2011,"PWOOLW","World","Index, 2005=100","","Commodity Wool Index includes Coarse and Fine Wool Price Indices",2012,233.331
2012,"PALLFNFW","World","Index, 2005=100","","Commodity Price Index includes both Fuel and Non-Fuel Price Indices",2013,185.987
2012,"PBEVEW","World","Index, 2005=100","","Commodity Beverage Price Index includes Coffee, Tea, and Cocoa",2013,167.371
2012,"PCEREW","World","Index, 2005=100","","Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley",2013,239.648
2012,"PCOALW","World","Index, 2005=100","","Commodity Coal Price Index includes Australian and South African Coal",2013,200.139
2012,"PCOFFW","World","Index, 2005=100","","Commodity Coffee Price Index includes Other Mild Arabicas and Robusta",2013,180.087
2012,"PFANDBW","World","Index, 2005=100","","Commodity Food and Beverage Price Index includes Food and Beverage Price Indices",2013,176.894
2012,"PFOODW","World","Index, 2005=100","","Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices",2013,177.926
2012,"PHARDW","World","Index, 2005=100","","Commodity Hardwood Price Index includes Hardwood Logs and Hardwood Sawn Price Indices",2013,146.297
2012,"PINDUW","World","Index, 2005=100","","Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices",2013,167.118
2012,"PMEATW","World","Index, 2005=100","","Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices",2013,133.287
2012,"PMETAW","World","Index, 2005=100","","Commodity Metals Price Index includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices",2013,191.034
2012,"PNFUELW","World","Index, 2005=100","","Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices",2013,172.031
2012,"PNGASW","World","Index, 2005=100","","Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices",2013,171.23
2012,"PNRGW","World","Index, 2005=100","","Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",2013,194.152
2012,"POILAPSPW","World","Index, 2005=100","","Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh",2013,196.812
2012,"PRAWMW","World","Index, 2005=100","","Commodity Agricultural Raw Materials Index includes Timber, Cotton, Wool, Rubber, and Hides Price Indices",2013,134.008
2012,"PSEAFW","World","Index, 2005=100","","Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices",2013,112.807
2012,"PSOFTW","World","Index, 2005=100","","Commodity Softwood Index includes Softwood Sawn and Softwood Logs Price Indices",2013,85.834
2012,"PSUGAW","World","Index, 2005=100","","Commodity Sugar Index includes European, Free market, and U.S. Price Indices",2013,207.749
2012,"PTIMBW","World","Index, 2005=100","","Commodity Timber Index includes Hardwood and Softwood Price Indices",2013,107.368
2012,"PVOILW","World","Index, 2005=100","","Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices",2013,215.715
2012,"PWOOLW","World","Index, 2005=100","","Commodity Wool Index includes Coarse and Fine Wool Price Indices",2013,214.514
2013,"PALLFNFW","World","Index, 2005=100","","Commodity Price Index includes both Fuel and Non-Fuel Price Indices",2014,183.055
2013,"PALUM","World","U.S. dollars","Units","Aluminum, 99.5% minimum purity, LME spot price, CIF UK ports, US$ per metric tonne",2014,1846.677
2013,"PBANSOP","World","U.S. dollars","Units","Bananas, Central American and Ecuador, FOB U.S. Ports, US$ per metric tonne",2014,926.354
2013,"PBARL","World","U.S. dollars","Units","Barley, Canadian no.1 Western Barley, spot price, US$ per metric tonne",2014,206.36
2013,"PBEEF","World","U.S. cents","Units","Beef, Australian and New Zealand 85% lean fores, FOB U.S. import price, US cents per pound",2014,183.588
2013,"PBEVEW","World","Index, 2005=100","","Commodity Beverage Price Index includes Coffee, Tea, and Cocoa",2014,147.431
2013,"PCEREW","World","Index, 2005=100","","Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley",2014,218.159
2013,"PCOALAU","World","U.S. dollars","Units","Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne",2014,90.134
2013,"PCOALSA","World","U.S. dollars","Units","Coal, South African export price, US$ per metric tonne",2014,80.324
2013,"PCOALW","World","Index, 2005=100","","Commodity Coal Price Index includes Australian and South African Coal",2014,176.863
2013,"PCOCO","World","U.S. dollars","Units","Cocoa beans, International Cocoa Organization cash price, CIF US and European ports, US$ per metric tonne",2014,2439.091
2013,"PCOFFOTM","World","U.S. cents","Units","Coffee, Other Mild Arabicas, International Coffee Organization New York cash price, ex-dock New York, US cents per pound",2014,141.057
2013,"PCOFFROB","World","U.S. cents","Units","Coffee, Robusta, International Coffee Organization New York cash price, ex-dock New York, US cents per pound",2014,100.529
2013,"PCOFFW","World","Index, 2005=100","","Commodity Coffee Price Index includes Other Mild Arabicas and Robusta",2014,147.425
2013,"PCOPP","World","U.S. dollars","Units","Copper, grade A cathode, LME spot price, CIF European ports, US$ per metric tonne",2014,7331.491
2013,"PCOTTIND","World","U.S. cents","Units","Cotton, Cotton Outlook `A Index`, Middling 1-3/32 inch staple, CIF Liverpool, US cents per pound",2014,90.401
2013,"PFANDBW","World","Index, 2005=100","","Commodity Food and Beverage Price Index includes Food and Beverage Price Indices",2014,175.598
2013,"PFISH","World","U.S. dollars","Units","Fishmeal, Peru Fish meal/pellets 65% protein, CIF, US$ per metric tonne",2014,1710.508
2013,"PFOODW","World","Index, 2005=100","","Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices",2014,178.649
2013,"PGNUTS","World","U.S. dollars","Units","Groundnuts (peanuts), 40/50 (40 to 50 count per ounce), cif Argentina, US$ per metric tonne",2014,2314.466
2013,"PHARDW","World","Index, 2005=100","","Commodity Hardwood Price Index includes Hardwood Logs and Hardwood Sawn Price Indices",2014,135.653
2013,"PHIDE","World","U.S. cents","Units","Hides, Heavy native steers, over 53 pounds, wholesale dealer`s price, US cents per pound",2014,94.712
2013,"PINDUW","World","Index, 2005=100","","Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices",2014,163.285
2013,"PIORECR","World","U.S. dollars","Units","Iron Ore, China import Iron Ore Fines 62% FE spot (CFR Tianjin port) US$ per metric ton",2014,135.361
2013,"PLAMB","World","U.S. cents","Units","Lamb, frozen carcass Smithfield London, US cents per pound",2014,106.658
2013,"PLEAD","World","U.S. dollars","Units","Lead, 99.97% pure, LME spot price, CIF European Ports, US$ per metric tonne",2014,2139.75
2013,"PLOGORE","World","U.S. dollars","Units","Soft Logs, Average Export price from the U.S. for Douglas Fir, US$ per cubic meter",2014,164.536
2013,"PLOGSK","World","U.S. dollars","Units","Hard Logs, Best quality Malaysian meranti, import price Japan, US$ per cubic meter",2014,305.434
2013,"PMAIZMT","World","U.S. dollars","Units","Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric tonne",2014,258.957
2013,"PMEATW","World","Index, 2005=100","","Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices",2014,136.842
2013,"PMETAW","World","Index, 2005=100","","Commodity Metals Price Index includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices",2014,182.902
2013,"PNFUELW","World","Index, 2005=100","","Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices",2014,169.472
2013,"PNGASEU","World","U.S. dollars","Units","Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas",2014,11.189
2013,"PNGASJP","World","U.S. dollars","Units","Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid",2014,17.339
2013,"PNGASUS","World","U.S. dollars","Units","Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas",2014,3.725
2013,"PNGASW","World","Index, 2005=100","","Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices",2014,164.936
2013,"PNICK","World","U.S. dollars","Units","Nickel, melting grade, LME spot price, CIF European ports, US$ per metric tonne",2014,15029.989
2013,"PNRGW","World","Index, 2005=100","","Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",2014,191.001
2013,"POILAPSP","World","U.S. dollars","Units","Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel",2014,104.069
2013,"POILAPSPW","World","Index, 2005=100","","Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh",2014,195.054
2013,"POILBRE","World","U.S. dollars","Units","Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel",2014,108.844
2013,"POILDUB","World","U.S. dollars","Units","Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel",2014,105.43
2013,"POILWTI","World","U.S. dollars","Units","Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel",2014,97.934
2013,"POLVOIL","World","U.S. dollars","Units","Olive Oil, extra virgin less than 1% free fatty acid, ex-tanker price U.K., US$ per metric tonne",2014,3894.425
2013,"PORANG","World","U.S. dollars","Units","Oranges, miscellaneous oranges French import price, US$ per metric tonne",2014,967.32
2013,"PPOIL","World","U.S. dollars","Units","Palm oil, Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA, US$ per metric tonne",2014,764.197
2013,"PPORK","World","U.S. cents","Units","Swine (pork), 51-52% lean Hogs, U.S. price, US cents per pound",2014,86.546
2013,"PPOULT","World","U.S. cents","Units","Poultry (chicken), Whole bird spot price, Georgia docks, US cents per pound",2014,103.838
2013,"PRAWMW","World","Index, 2005=100","","Commodity Agricultural Raw Materials Index includes Timber, Cotton, Wool, Rubber, and Hides Price Indices",2014,136.127
2013,"PRICENPQ","World","U.S. dollars","Units","Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric tonne",2014,518.812
2013,"PROIL","World","U.S. dollars","Units","Rapeseed oil, crude, FOB Rotterdam, US$ per metric ton",2014,1081.219
2013,"PRUBB","World","U.S. cents","Units","Rubber, No.1 Rubber Smoked Sheet, FOB Maylaysian/Singapore, US cents per pound",2014,126.759
2013,"PSALM","World","U.S. dollars","Units","Fish (salmon), Farm Bred Norwegian Salmon, export price, US$ per kilogram",2014,6.716
2013,"PSAWMAL","World","U.S. dollars","Units","Hard Sawnwood, Dark Red Meranti, select and better quality, C&F U.K port, US$ per cubic meter",2014,852.798
2013,"PSAWORE","World","U.S. dollars","Units","Soft Sawnwood, average export price of Douglas Fir, U.S. Price, US$ per cubic meter",2014,301.362
2013,"PSEAFW","World","Index, 2005=100","","Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices",2014,159.24
2013,"PSHRI","World","U.S. dollars","Units","Shrimp, Frozen shell-on headless, block 16/20 count, Indian origin, C&F Japan, US$ per kilogram",2014,14.028
2013,"PSMEA","World","U.S. dollars","Units","Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric tonne",2014,477.299
2013,"PSOFTW","World","Index, 2005=100","","Commodity Softwood Index includes Softwood Sawn and Softwood Logs Price Indices",2014,91.588
2013,"PSOIL","World","U.S. dollars","Units","Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric tonne",2014,1011.113
2013,"PSOYB","World","U.S. dollars","Units","Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric tonne",2014,517.204
2013,"PSUGAEEC","World","U.S. cents","Units","Sugar, European import price, CIF Europe, US cents per pound",2014,26.012
2013,"PSUGAISA","World","U.S. cents","Units","Sugar, Free Market, Coffee Sugar and Cocoa Exchange (CSCE) contract no.11 nearest future position, US cents per pound",2014,17.709
2013,"PSUGAUSA","World","U.S. cents","Units","Sugar, U.S. import price, contract no.14 nearest futures position, US cents per pound",2014,21.215
2013,"PSUGAW","World","Index, 2005=100","","Commodity Sugar Index includes European, Free market, and U.S. Price Indices",2014,171.342
2013,"PSUNO","World","U.S. dollars","Units","Sunflower Oil, US export price from Gulf of Mexico, US$ per metric tonne",2014,1341.093
2013,"PTEA","World","U.S. cents","Units","Tea, Mombasa, Kenya, Auction Price, US cents per kilogram",2014,265.992
